Christian ;Horner;Red Bull Racing;Team Manager
Adrian;Newey;Red Bull Racing;Director Tecnico
Daniel ;Ricciardo;Red Bull Racing;Piloto
Daniil;Kvyat;Red Bull Racing;Piloto
null;null;null;null
null;null;null;null
null;null;null;null
